cords,emotion,x,y,dist
"(0.49, 0.76)",fear,0.49,0.76,0.5763222682136837
"(0.42, 0.49)",fear,0.42,0.49,0.3065653631347322
"(0.77, 0.48)",fear,0.77,0.48,0.5781201270622651
"(0.13, 0.85)",fear,0.13,0.85,0.6222122275716417
"(0.36, 0.18)",joy,0.36,0.18,0.12922501727882832
"(0.22, 0.05)",fear,0.22,0.05,0.190080439872655
"(0.15, 0.31)",fear,0.15,0.31,0.11872787325609889
"(0.08, 0.68)",fear,0.08,0.68,0.47127540111076466
"(0.2, 0.11)",fear,0.2,0.11,0.1360345500121465
"(0.92, 0.39)",fear,0.92,0.39,0.6920400167699793
"(0.19, 0.81)",fear,0.19,0.81,0.5741553359901467
"(0.59, 0.11)",fear,0.59,0.11,0.3683697977412321
"(0.21, 0.26)",joy,0.21,0.26,0.040888046706106615
"(0.81, 0.39)",fear,0.81,0.39,0.5852055524831826
"(0.48, 0.47)",fear,0.48,0.47,0.3300759822249453
"(0.56, 0.73)",joy,0.56,0.73,0.5839429037850561
"(0.38, 0.49)",neutral,0.38,0.49,0.28559191419637536
"(0.97, 0.48)",fear,0.97,0.48,0.7644087803082796
"(0.09, 0.59)",fear,0.09,0.59,0.3840943578342229
"(0.52, 0.63)",fear,0.52,0.63,0.47860426466304135
"(0.86, 0.05)",fear,0.86,0.05,0.6434624000945732
"(0.31, 0.67)",fear,0.31,0.67,0.43644280481402176
"(0.35, 0.67)",fear,0.35,0.67,0.4441867876170009
"(0.96, 0.44)",fear,0.96,0.44,0.7430967712111388
"(0.7, 1.0)",anger,0.7,1.0,0.8872365048735449
"(0.74, 0.1)",fear,0.74,0.1,0.514236293186871
"(0.13, 0.35)",fear,0.13,0.35,0.16002998031994814
"(0.21, 0.74)",fear,0.21,0.74,0.5027412410379357
"(0.72, 0.84)",fear,0.72,0.84,0.7666199176239203
"(0.73, 0.19)",neutral,0.73,0.19,0.4876586851503842
"(0.01, 0.26)",fear,0.01,0.26,0.23574123581914697
"(0.61, 0.1)",fear,0.61,0.1,0.3906089206187401
"(0.7, 0.51)",fear,0.7,0.51,0.5300763372124165
"(0.44, 0.22)",joy,0.44,0.22,0.1961156364315483
"(0.87, 1.0)",joy,0.87,1.0,0.9853282865945951
"(0.43, 0.22)",joy,0.43,0.22,0.18616242302907463
"(0.15, 0.66)",fear,0.15,0.66,0.43205697652605884
"(0.75, 0.5)",fear,0.75,0.5,0.5689240982470667
"(0.76, 0.49)",fear,0.76,0.49,0.5733661617503807
"(0.3, 0.22)",joy,0.3,0.22,0.058247844461574494
"(0.26, 0.63)",fear,0.26,0.63,0.3918351304137721
"(0.77, 0.41)",fear,0.77,0.41,0.5525463751569683
"(0.41, 0.17)",fear,0.41,0.17,0.17886534428004705
"(0.37, 0.09)",fear,0.37,0.09,0.19423459300208476
"(0.64, 0.23)",fear,0.64,0.23,0.3953353186620474
"(0.57, 0.66)",fear,0.57,0.66,0.5324272958540289
"(0.37, 0.66)",fear,0.37,0.66,0.43975097870559837
"(0.51, 0.73)",fear,0.51,0.73,0.5585381270391913
"(0.75, 0.86)",fear,0.75,0.86,0.8009883406604182
"(0.14, 0.97)",fear,0.14,0.97,0.7390007997382616
"(0.33, 0.13)",joy,0.33,0.13,0.13795134512639598
"(0.99, 0.99)",neutral,0.99,0.99,1.058394918917987
"(0.79, 0.43)",fear,0.79,0.43,0.5779090113248224
"(0.33, 0.88)",fear,0.33,0.88,0.6471771518910987
"(0.87, 0.54)",fear,0.87,0.54,0.6941588058564525
